unit,mesin power,daya terpasang 
PLTU B,7,340000
PLTU B,4,160000
PLTU G,3,180000
PLTD,20,294700
PLTGU G,8,118000
PLTGU G,6,10530
PLTA,3,75220
PLTA,3,90950
PLTA,29,79736
PLTA,4,70072
PLTA,4,385
PLTA,5,687
PLTA,3,1965
PLTA,3,1920
PLTA,3,1836
PLTA,3,1890
PLTA,4,990
PLTP,11,38700
PLTP,3,14200
PLTP,3,18000
PLTP,1,5500
PLTP,4,1000
PLTGUG,12,123830
PLTU M,8,103390
PLTD,3,20000
PLTA,1,440
PLTA,34,33379
PLTA,3,18090
PLTA,4,2048
PLTA,3,1200
PLTA,2,1240
PLTA,2,2640
PLTA,1,100
PLTA,4,854
PLTA,2,1800
PLTA,1,2250
PLTA,1,117
PLTA,1,140
PLTA,1,75
PLTA,1,120
PLTA,1,160
PLTA,1,1240
PLTM,1,333
PLTM,2,832
PLTGU G,2,125858
PLTG G,11,26033
PLTGU G,4,49725
PLTDG,4,50100
PLTG M,3,84208
PLTG M,42,19968
PLTG M,12,22620
PLTD,5,13380
PLTD,1,9760
PLTMG,2,5400
PLTMG,3,1190
PLTMG,7,5000
PLTMG,5,2000
PLTMG,2,978
PLTMG,1,978
PLTMG,1,978
PLTMG,1,1956
PLTU B,2,62500
PLTU B,1,62500
PLTU B,1,60000
PLTU B,2,60000
PLTU B,2,94500
PLTU B,3,94500
PLTU B,3,105000
PLTU B,3,105000
PLTU B,3,66000
PLTU B,1,66000
PLTGU B,1,74000
PLTU B,3,74000
PLTU B,3,88000
PLTU B,4,88000
PLTU B,4,10000
PLTU B,2,10000
PLTU B,2,9000
PLTU B,3,9000
PLTU B,3,1700
PLTU B,2,1700
PLTU B,2,2700
PLTU B,3,2700
PLTU B,3,2400
PLTU B,2,2400
PLTU B,2,1700
PLTU B,2,1700
PLTU B,2,23000
PLTU B,1,23000
PLTU B,1,23000
